type,n,algo,threshold,time
random,500,standard,0,327
random,500,hybrid,5,179
random,500,hybrid,10,139.4
random,500,hybrid,15,129.2
random,500,hybrid,20,118
random,500,hybrid,30,113.4
random,500,hybrid,50,100.2
random,600,standard,0,397.8
random,600,hybrid,5,185.6
random,600,hybrid,10,146.4
random,600,hybrid,15,145.6
random,600,hybrid,20,123.2
random,600,hybrid,30,122.6
random,600,hybrid,50,112
random,700,standard,0,431
random,700,hybrid,5,239.4
random,700,hybrid,10,206.4
random,700,hybrid,15,170
random,700,hybrid,20,158.6
random,700,hybrid,30,132.6
random,700,hybrid,50,124.2
random,800,standard,0,450.6
random,800,hybrid,5,268.6
random,800,hybrid,10,213.2
random,800,hybrid,15,175.4
random,800,hybrid,20,175.2
random,800,hybrid,30,151.6
random,800,hybrid,50,145.4
random,900,standard,0,507.2
random,900,hybrid,5,279
random,900,hybrid,10,219
random,900,hybrid,15,183.6
random,900,hybrid,20,182.6
random,900,hybrid,30,162
random,900,hybrid,50,160
random,1000,standard,0,518.8
random,1000,hybrid,5,283.2
random,1000,hybrid,10,227.8
random,1000,hybrid,15,214.6
random,1000,hybrid,20,192.2
random,1000,hybrid,30,191.2
random,1000,hybrid,50,167.2
random,1100,standard,0,544.2
random,1100,hybrid,5,296
random,1100,hybrid,10,238.2
random,1100,hybrid,15,238.6
random,1100,hybrid,20,203.4
random,1100,hybrid,30,201.2
random,1100,hybrid,50,180.4
random,1200,standard,0,575.8
random,1200,hybrid,5,310.2
random,1200,hybrid,10,251.6
random,1200,hybrid,15,253
random,1200,hybrid,20,218.2
random,1200,hybrid,30,218.6
random,1200,hybrid,50,204.2
random,1300,standard,0,631.4
random,1300,hybrid,5,335.4
random,1300,hybrid,10,282.2
random,1300,hybrid,15,270
random,1300,hybrid,20,248.6
random,1300,hybrid,30,235.4
random,1300,hybrid,50,218
random,1400,standard,0,693.8
random,1400,hybrid,5,401.2
random,1400,hybrid,10,350.2
random,1400,hybrid,15,290.2
random,1400,hybrid,20,294.4
random,1400,hybrid,30,255.2
random,1400,hybrid,50,242.2
random,1500,standard,0,732.4
random,1500,hybrid,5,464.2
random,1500,hybrid,10,403
random,1500,hybrid,15,321.6
random,1500,hybrid,20,333.6
random,1500,hybrid,30,280.2
random,1500,hybrid,50,258.4
random,1600,standard,0,795.8
random,1600,hybrid,5,488.4
random,1600,hybrid,10,407.4
random,1600,hybrid,15,330.6
random,1600,hybrid,20,335.4
random,1600,hybrid,30,294.4
random,1600,hybrid,50,280
random,1700,standard,0,885.2
random,1700,hybrid,5,523
random,1700,hybrid,10,414.4
random,1700,hybrid,15,353.4
random,1700,hybrid,20,353.8
random,1700,hybrid,30,316.4
random,1700,hybrid,50,313.2
random,1800,standard,0,920
random,1800,hybrid,5,547.6
random,1800,hybrid,10,436.8
random,1800,hybrid,15,379.6
random,1800,hybrid,20,370
random,1800,hybrid,30,337.4
random,1800,hybrid,50,334.6
random,1900,standard,0,962.4
random,1900,hybrid,5,559
random,1900,hybrid,10,462.4
random,1900,hybrid,15,391.8
random,1900,hybrid,20,389.8
random,1900,hybrid,30,352.8
random,1900,hybrid,50,352.2
random,2000,standard,0,1034.4
random,2000,hybrid,5,589.8
random,2000,hybrid,10,497.6
random,2000,hybrid,15,454.2
random,2000,hybrid,20,414.4
random,2000,hybrid,30,416.2
random,2000,hybrid,50,377.6
random,2100,standard,0,1045.8
random,2100,hybrid,5,623
random,2100,hybrid,10,501
random,2100,hybrid,15,499
random,2100,hybrid,20,439.6
random,2100,hybrid,30,427
random,2100,hybrid,50,392.4
random,2200,standard,0,1125.2
random,2200,hybrid,5,647.8
random,2200,hybrid,10,529.8
random,2200,hybrid,15,544.4
random,2200,hybrid,20,454.8
random,2200,hybrid,30,451.4
random,2200,hybrid,50,428.6
random,2300,standard,0,1162.2
random,2300,hybrid,5,675.6
random,2300,hybrid,10,540.6
random,2300,hybrid,15,546.6
random,2300,hybrid,20,475.6
random,2300,hybrid,30,469.2
random,2300,hybrid,50,435.6
random,2400,standard,0,1304.8
random,2400,hybrid,5,679.4
random,2400,hybrid,10,591.2
random,2400,hybrid,15,578.4
random,2400,hybrid,20,485
random,2400,hybrid,30,502.2
random,2400,hybrid,50,462
random,2500,standard,0,1276
random,2500,hybrid,5,718.6
random,2500,hybrid,10,591
random,2500,hybrid,15,575.2
random,2500,hybrid,20,517.4
random,2500,hybrid,30,517.2
random,2500,hybrid,50,499.4
random,2600,standard,0,1354
random,2600,hybrid,5,747.6
random,2600,hybrid,10,636.6
random,2600,hybrid,15,602.8
random,2600,hybrid,20,558.6
random,2600,hybrid,30,543.4
random,2600,hybrid,50,511.8
random,2700,standard,0,1410.2
random,2700,hybrid,5,808.6
random,2700,hybrid,10,691.4
random,2700,hybrid,15,627.2
random,2700,hybrid,20,632.4
random,2700,hybrid,30,546.4
random,2700,hybrid,50,524
random,2800,standard,0,1522.6
random,2800,hybrid,5,871
random,2800,hybrid,10,771.4
random,2800,hybrid,15,654.6
random,2800,hybrid,20,646.6
random,2800,hybrid,30,583.4
random,2800,hybrid,50,553.4
random,2900,standard,0,1490.2
random,2900,hybrid,5,916.6
random,2900,hybrid,10,801.4
random,2900,hybrid,15,675.8
random,2900,hybrid,20,671.6
random,2900,hybrid,30,589.4
random,2900,hybrid,50,582.2
random,3000,standard,0,1551
random,3000,hybrid,5,983.6
random,3000,hybrid,10,820.6
random,3000,hybrid,15,698.8
random,3000,hybrid,20,695
random,3000,hybrid,30,619.2
random,3000,hybrid,50,599.8
random,3100,standard,0,1617.2
random,3100,hybrid,5,1045.8
random,3100,hybrid,10,849.8
random,3100,hybrid,15,724.6
random,3100,hybrid,20,708
random,3100,hybrid,30,641.2
random,3100,hybrid,50,629
random,3200,standard,0,1645.6
random,3200,hybrid,5,1054.8
random,3200,hybrid,10,870.4
random,3200,hybrid,15,733.8
random,3200,hybrid,20,746.6
random,3200,hybrid,30,662.4
random,3200,hybrid,50,658.2
random,3300,standard,0,1737.8
random,3300,hybrid,5,1086.6
random,3300,hybrid,10,906.6
random,3300,hybrid,15,769.6
random,3300,hybrid,20,772.8
random,3300,hybrid,30,683.6
random,3300,hybrid,50,689.8
random,3400,standard,0,1755.4
random,3400,hybrid,5,1119.2
random,3400,hybrid,10,910.8
random,3400,hybrid,15,779.6
random,3400,hybrid,20,775
random,3400,hybrid,30,704.6
random,3400,hybrid,50,708.4
random,3500,standard,0,1814.2
random,3500,hybrid,5,1145
random,3500,hybrid,10,932
random,3500,hybrid,15,822
random,3500,hybrid,20,825.6
random,3500,hybrid,30,744.2
random,3500,hybrid,50,1806.8
random,3600,standard,0,3296.2
random,3600,hybrid,5,1161.2
random,3600,hybrid,10,975
random,3600,hybrid,15,817.6
random,3600,hybrid,20,851.8
random,3600,hybrid,30,756
random,3600,hybrid,50,751
random,3700,standard,0,1955
random,3700,hybrid,5,1204.2
random,3700,hybrid,10,1004
random,3700,hybrid,15,859.6
random,3700,hybrid,20,874.4
random,3700,hybrid,30,772
random,3700,hybrid,50,772.2
random,3800,standard,0,1993.2
random,3800,hybrid,5,1231.4
random,3800,hybrid,10,1003
random,3800,hybrid,15,880.8
random,3800,hybrid,20,875.6
random,3800,hybrid,30,802.4
random,3800,hybrid,50,788.4
random,3900,standard,0,2026
random,3900,hybrid,5,1234
random,3900,hybrid,10,1034.2
random,3900,hybrid,15,940.6
